fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
113,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
114,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
115,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
116,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
117,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
118,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
119,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
120,schwerer Schaden neu,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden neu,geräumte Fläche,leicht oder mittel beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Schwerer Schaden neu},{Schwerer Schaden alt},{Schwerer Schaden neu},{leicht und mittel beschädigt},{mehr als 10% zerstört},,,
121,Totalschaden alt,Totalschaden alt,Mehr als 10% zerstört,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{mehr als 10% zerstört},,,
122,schwerer Schaden neu,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden neu,geräumte Fläche,leicht oder mittel beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Schwerer Schaden neu},{Schwerer Schaden alt},{Schwerer Schaden neu},{leicht und mittel beschädigt},{mehr als 10% zerstört},,,
123,Totalschaden neu,Totalschaden alt,Über 60% zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{über 60% zerstört},,,
124,Totalschaden neu,Totalschaden alt,Über 60% zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{über 60% zerstört},,,
125,schwerer Schaden neu,schwerer Schaden alt,Über 40% zerstört,nicht kartiert,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{nicht kartiert},"{total beschädigt, schwer beschädigt, aber Außenmauerteile noch gut erhalten}","{wieder aufgebaut, über 40% zerstört}",,,
126,schwerer Schaden neu,schwerer Schaden alt,Wieder aufgebaut,nicht kartiert,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{nicht kartiert},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{wieder aufgebaut},,,
127,schwerer Schaden neu,schwerer Schaden alt,Über 40% zerstört,nicht kartiert,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{nicht kartiert},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}","{wieder aufgebaut, über 40% zerstört}",,,
128,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
129,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
130,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
131,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
132,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
133,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
134,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
135,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
136,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
137,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
138,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
139,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
140,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
141,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
142,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
143,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
144,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
145,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
146,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
147,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
148,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
149,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
150,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
151,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
152,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
153,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
154,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
155,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
156,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
157,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
158,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
159,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
160,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
161,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
162,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
163,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
164,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
165,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
166,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
167,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
168,Totalschaden alt,schwerer Schaden alt,Total zerstört,Totalschaden alt,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Schwerer Schaden alt},{Totalschaden alt},{leicht und mittel beschädigt},{total zerstört},,,
169,Totalschaden alt,Totalschaden neu,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden neu},{Totalschaden alt},{total beschädigt},{total zerstört},,,
170,Totalschaden alt,Totalschaden neu,Wieder aufgebaut,Totalschaden alt,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden neu},{Totalschaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
171,Totalschaden alt,Totalschaden neu,Wieder aufgebaut,Totalschaden alt,geräumte Fläche,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden neu},{Totalschaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
172,Totalschaden neu,Totalschaden neu,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden neu},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
173,Totalschaden neu,nicht kartiert,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
174,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
175,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
176,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
